Date,Symbol,Open,High,Low,Close,Volume
3/1/2021 20:00,SPY,390.05,390.05,390.05,390.05,800
3/1/2021 19:59,SPY,390.03,390.08,390.00,390.08,4551
3/1/2021 19:58,SPY,390.05,390.05,390.01,390.01,2444
3/1/2021 19:57,SPY,390.05,390.05,390.05,390.05,200
3/1/2021 19:56,SPY,390.08,390.08,390.05,390.05,1900
3/1/2021 19:55,SPY,390.13,390.14,390.13,390.14,574
3/1/2021 19:54,SPY,390.00,390.03,389.98,390.00,1097
3/1/2021 19:53,SPY,390.05,390.05,390.05,390.05,384
3/1/2021 19:52,SPY,390.05,390.10,390.05,390.10,1499
3/1/2021 19:51,SPY,389.95,390.05,389.95,390.05,4800
3/1/2021 19:50,SPY,389.97,389.97,389.96,389.96,300
3/1/2021 19:49,SPY,389.97,389.97,389.95,389.95,600
3/1/2021 19:48,SPY,390.00,390.00,389.95,389.95,1999
3/1/2021 19:47,SPY,390.00,390.00,389.98,389.98,1300
3/1/2021 19:45,SPY,390.12,390.12,390.12,390.12,100
3/1/2021 19:44,SPY,390.09,390.09,390.09,390.09,100
3/1/2021 19:43,SPY,390.05,390.05,390.05,390.05,299
3/1/2021 19:42,SPY,390.12,390.12,390.12,390.12,1945
3/1/2021 19:41,SPY,390.08,390.08,390.08,390.08,200
3/1/2021 19:40,SPY,389.93,389.93,389.93,389.93,300
3/1/2021 19:39,SPY,390.00,390.00,389.90,389.91,8400
3/1/2021 19:38,SPY,390.00,390.05,390.00,390.05,1623
3/1/2021 19:37,SPY,390.08,390.09,389.91,389.91,4699
3/1/2021 19:36,SPY,390.02,390.02,390.02,390.02,100
3/1/2021 19:35,SPY,390.00,390.00,390.00,390.00,400
3/1/2021 19:34,SPY,389.95,389.95,389.95,389.95,500
3/1/2021 19:33,SPY,389.97,389.98,389.93,389.93,2498
3/1/2021 19:32,SPY,390.02,390.02,389.97,389.97,900
3/1/2021 19:31,SPY,390.12,390.13,390.02,390.02,3600
3/1/2021 19:30,SPY,390.19,390.22,390.19,390.21,1000
3/1/2021 19:28,SPY,390.24,390.24,390.13,390.13,650
3/1/2021 19:27,SPY,390.22,390.24,390.22,390.22,1677
3/1/2021 19:26,SPY,390.18,390.19,390.18,390.19,1600
3/1/2021 19:25,SPY,390.05,390.05,390.05,390.05,250
3/1/2021 19:24,SPY,390.10,390.12,390.10,390.12,2400
3/1/2021 19:23,SPY,390.10,390.10,390.10,390.10,340
3/1/2021 19:21,SPY,390.12,390.13,390.12,390.13,300
3/1/2021 19:20,SPY,390.08,390.08,390.08,390.08,200
3/1/2021 19:19,SPY,389.97,389.97,389.92,389.93,2000
3/1/2021 19:18,SPY,390.01,390.01,390.00,390.00,900
3/1/2021 19:17,SPY,390.08,390.08,390.08,390.08,200
3/1/2021 19:16,SPY,390.00,390.00,390.00,390.00,792
3/1/2021 19:15,SPY,389.99,389.99,389.92,389.95,2300
3/1/2021 19:14,SPY,390.00,390.00,389.96,389.96,1800
3/1/2021 19:13,SPY,390.04,390.04,390.04,390.04,999
3/1/2021 19:12,SPY,389.91,389.99,389.90,389.99,400
3/1/2021 19:11,SPY,390.00,390.00,389.92,389.92,2200
3/1/2021 19:10,SPY,389.92,389.92,389.92,389.92,100
3/1/2021 19:09,SPY,389.91,389.92,389.87,389.92,3050
3/1/2021 19:08,SPY,390.05,390.05,389.93,389.93,1899
3/1/2021 19:07,SPY,390.05,390.15,390.05,390.12,310
3/1/2021 19:05,SPY,390.14,390.14,390.14,390.14,1100
3/1/2021 19:03,SPY,390.14,390.29,390.14,390.24,13865
3/1/2021 19:02,SPY,389.95,390.11,389.95,390.11,6824
3/1/2021 19:01,SPY,389.90,390.00,389.87,390.00,2150
3/1/2021 19:00,SPY,390.05,390.05,389.84,389.94,13384
3/1/2021 18:59,SPY,390.14,390.14,390.14,390.14,3000
3/1/2021 18:58,SPY,390.04,390.05,390.04,390.05,2340
3/1/2021 18:57,SPY,390.03,390.06,390.03,390.06,4474
3/1/2021 18:55,SPY,390.01,390.01,390.01,390.01,500
3/1/2021 18:54,SPY,390.05,390.05,389.96,389.99,4382
3/1/2021 18:52,SPY,390.18,390.18,390.18,390.18,100
3/1/2021 18:51,SPY,390.22,390.22,390.22,390.22,300
3/1/2021 18:50,SPY,390.14,390.19,390.13,390.19,4200
3/1/2021 18:49,SPY,390.04,390.10,390.04,390.10,200
3/1/2021 18:48,SPY,390.02,390.02,390.02,390.02,500
3/1/2021 18:47,SPY,389.99,389.99,389.95,389.95,2225
3/1/2021 18:46,SPY,390.04,390.04,390.04,390.04,298
